13:24:20,764.5
13:24:25,2470.42
13:24:37,3088.1800000000003
13:24:41,3691.7400000000002
13:24:45,4259.820000000001
13:24:49,4976.77
13:24:54,5557.6900000000005
13:24:58,6153.97
13:25:2,6750.81
13:25:6,7336.490000000001
13:25:10,8073.240000000001
13:25:15,8660.960000000001
13:25:19,9256.800000000001
13:25:23,9869.44
13:25:27,10608.84
13:25:32,11208.48
13:25:36,11804.439999999999
13:25:40,12415.839999999998
13:25:44,12990.119999999999
13:25:48,13694.82
13:25:53,14270.619999999999
13:25:57,14844.539999999999
13:26:1,15434.46
13:26:5,16003.179999999998
13:26:9,16565.1
13:26:13,17280.85
13:26:18,17862.489999999998
13:26:22,18467.73
13:26:26,19068.45
13:26:30,19786.100000000002
13:26:35,20357.9
13:26:39,20924.300000000003
13:26:43,21518.22
13:26:47,22118.66
13:26:51,22851.66
13:26:56,23459.9
13:27:0,24079.02
13:27:4,24715.54
13:27:8,25347.74
13:27:12,25971.9
13:27:16,26758.4
13:27:21,27387.04
13:27:25,28015.96
13:27:29,28648.96
13:27:33,29405.26
13:27:38,30017.899999999998
13:27:42,30601.019999999997
13:27:46,31205.26
13:27:50,31820.379999999997
13:27:54,32598.879999999997
13:27:59,33227.799999999996
13:28:3,33841.759999999995
13:28:7,34469.799999999996
13:28:11,35123.479999999996
13:28:15,35753.99999999999
13:28:19,36536.399999999994
13:28:24,37163.27999999999
13:28:28,37797.83999999999
13:28:32,38464.679999999986
13:28:36,39276.57999999999
13:28:41,39923.97999999999
13:28:45,40576.93999999999
13:28:49,41239.97999999999
13:28:53,41935.73999999999
13:28:57,42617.69999999999
13:29:1,43454.34999999999
13:29:6,44120.66999999999
13:29:10,44804.149999999994
13:29:14,45512.34999999999
13:29:18,46203.42999999999
13:29:22,47041.37999999999
13:29:27,47714.85999999999
13:29:31,48406.17999999999
13:29:35,49110.579999999994
13:29:39,49964.77999999999
13:29:44,50627.45999999999
13:29:48,51282.259999999995
13:29:52,51932.38
13:29:56,52595.78
13:30:0,53391.88
13:30:5,54023.64
13:30:9,54725.92
13:30:13,55402.4
13:30:17,56061.72
13:30:21,56674.36
13:30:25,57472.66
13:30:30,58140.58
13:30:34,58831.020000000004
13:30:38,59522.340000000004
13:30:42,60310.39000000001
13:30:47,60922.15000000001
13:30:51,61583.87000000001
13:30:55,62278.19000000001
13:30:59,62975.43000000001
13:31:3,63781.030000000006
13:31:8,64385.55
13:31:12,65021.79
13:31:16,65705.95
13:31:20,66375.70999999999
13:31:24,67036.79
13:31:28,67833.64
13:31:33,68457.24
13:31:37,69100.76000000001
13:31:41,69765.64000000001
13:31:45,70439.20000000001
13:31:49,71075.00000000001
13:31:53,71692.24000000002
13:31:57,72310.20000000003
13:32:1,72937.08000000003
13:32:5,73765.43000000004
13:32:10,74388.23000000004
13:32:14,74988.95000000004
13:32:18,75587.27000000005
13:32:22,76187.83000000005
13:32:26,76815.07000000005
13:32:30,77548.07000000005
13:32:35,78123.43000000005
13:32:39,78701.79000000005
13:32:43,79272.47000000004
13:32:47,80022.02000000005
13:32:52,80593.38000000005
13:32:56,81166.18000000005
13:33:0,81738.42000000006
13:33:4,82309.42000000006
13:33:8,83048.17000000006
13:33:13,83631.49000000006
